"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAPOWER","EQ","01-Apr-2021","        103.25","        103.90","        105.50","        103.55","        105.00","        105.05","        104.58","   34637782","          3622291117.90","      84344","    5869252","         16.94"
"TATAPOWER","EQ","05-Apr-2021","        105.05","        105.00","        105.50","        100.45","        103.50","        103.35","        102.87","   48340372","          4972757524.35","     138042","    6376644","         13.19"
"TATAPOWER","EQ","06-Apr-2021","        103.35","        103.80","        107.35","        102.45","        104.80","        104.70","        105.11","   56713336","          5961188281.30","     129510","    6879099","         12.13"
"TATAPOWER","EQ","07-Apr-2021","        104.70","        104.35","        105.65","        103.50","        104.40","        104.45","        104.81","   36218955","          3796011459.40","      80654","    6025277","         16.64"
"TATAPOWER","EQ","08-Apr-2021","        104.45","        105.00","        106.75","        104.70","        105.20","        104.95","        105.57","   36910799","          3896748522.65","      92349","    7470834","         20.24"
"TATAPOWER","EQ","09-Apr-2021","        104.95","        105.35","        106.20","        103.00","        104.10","        104.10","        104.53","   35350727","          3695101147.90","      88500","    6800575","         19.24"
"TATAPOWER","EQ","12-Apr-2021","        104.10","        101.00","        101.00","         89.90","         92.70","         92.20","         94.34","  125893617","         11876776655.75","     443035","   28259775","         22.45"
"TATAPOWER","EQ","13-Apr-2021","         92.20","         92.30","         96.30","         91.55","         95.75","         95.85","         94.46","   76861733","          7260203644.45","     205189","    9596868","         12.49"
"TATAPOWER","EQ","15-Apr-2021","         95.85","         94.70","         96.70","         93.30","         94.10","         94.15","         94.46","   38846301","          3669250586.00","     119133","    5708448","         14.69"
"TATAPOWER","EQ","16-Apr-2021","         94.15","         95.00","         97.95","         94.05","         96.75","         97.15","         96.47","   49515934","          4776712157.25","     132444","    9160806","         18.50"
"TATAPOWER","EQ","19-Apr-2021","         97.15","         92.40","         94.95","         91.80","         93.70","         93.80","         93.69","   43657515","          4090065647.00","     129301","    6092428","         13.96"
